State,District,Origin of Challenge,Date of Challenge/Removal,Type of Ban,Author,Title,Secondary Author(s),Illustrator(s),Translator(s)
Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Gino, Alex",Melissa (George),,,
Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Gino, Alex",Rick,,,
Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Girard, M-E",Girl Mans Up,,,
Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Goldman, Steven","Two Parties, One Tux, and a Very Short Film about The Grapes of Wrath",,,
Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Gonzalez, Maya Christina","They, She, He Easy as ABC","SG, Matthew",,
Texas,North East,Administrator,December 2021,Banned from Libraries,"Goode, Laura",Sister Mischief,,,
Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Goslee, S. J.",How Not to Ask a Boy to Prom,,,
Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Goslee, S. J.",Whatever.: or how junior year became totally f$@ked,,,
Texas,North East,Administrator,December 2021,Banned from Libraries,"Gowen, L. Kris",Image and Identity: Becoming the Person You Are,"McKenna, Molly",,
Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Green, John","Will Grayson, Will Grayson (Will Grayson, Will Grayson Series)","Levithan, David",,
Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Gregorio, I. W.",None of the Above,,,
Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Grehan, Meg",The Deepest Breath,,,
Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Grimes, Nikki",Ordinary Hazards,,,
Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Gutting, Gary",What Philosophy Can Do,,,
Texas,North East,Administrator,December 2021,Banned from Libraries,"Haney, Johannah",The Abortion Debate: Understanding the Issues (Issues in Focus Today),,,
Texas,North East,Administrator,December 2021,Banned from Libraries,"Harmon, Michael",The Last Exit to Normal,,,
Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Harris, Robie H.","It's Not the Stork!: A Book About Girls, Boys, Babies, Bodies, Families and Friends",,"Emberley, Michael",
